filename,module,ogp cords
7c8a5832-d2db-11eb-92c6-8c85909d90f2.jpg,Module4_all_06-18-2021,"+108.39144987,      +156.73643637,        +1.29636128,          1.00000000,     0.00000000,     0.00000000,     0.00000000,     1.00000000,     0.00000000,     0.00000000,     0.00000000,     1.00000000,  +0.00966338,   +0.00966382, 319, 239
"
7c8cfb3c-d2db-11eb-92c6-8c85909d90f2.jpg,Module4_all_06-18-2021," +89.92652731,       +97.52657775,        +1.31382125,          1.00000000,     0.00000000,     0.00000000,     0.00000000,     1.00000000,     0.00000000,     0.00000000,     0.00000000,     1.00000000,  +0.00966338,   +0.00966382, 319, 239
"
7c8f342e-d2db-11eb-92c6-8c85909d90f2.jpg,Module4_all_06-18-2021,"+101.82817441,       +76.40972619,        +1.30584498,          1.00000000,     0.00000000,     0.00000000,     0.00000000,     1.00000000,     0.00000000,     0.00000000,     0.00000000,     1.00000000,  +0.00966338,   +0.00966382, 319, 239
"
7c917978-d2db-11eb-92c6-8c85909d90f2.jpg,Module4_all_06-18-2021,"+101.96900208,      +153.30602688,        +1.30112186,          1.00000000,     0.00000000,     0.00000000,     0.00000000,     1.00000000,     0.00000000,     0.00000000,     0.00000000,     1.00000000,  +0.00966338,   +0.00966382, 319, 239
"
7c93a7c0-d2db-11eb-92c6-8c85909d90f2.jpg,Module4_all_06-18-2021,"+114.02440241,       +76.47787629,        +1.29666943,          1.00000000,     0.00000000,     0.00000000,     0.00000000,     1.00000000,     0.00000000,     0.00000000,     0.00000000,     1.00000000,  +0.00966338,   +0.00966382, 319, 239
"
7c95bf38-d2db-11eb-92c6-8c85909d90f2.jpg,Module4_all_06-18-2021," +83.75172131,      +150.02018325,        +1.31529298,          1.00000000,     0.00000000,     0.00000000,     0.00000000,     1.00000000,     0.00000000,     0.00000000,     0.00000000,     1.00000000,  +0.00966338,   +0.00966382, 319, 239
"
7c980770-d2db-11eb-92c6-8c85909d90f2.jpg,Module4_all_06-18-2021," +71.58646959,       +66.36864222,        +1.32995912,          1.00000000,     0.00000000,     0.00000000,     0.00000000,     1.00000000,     0.00000000,     0.00000000,     0.00000000,     1.00000000,  +0.00966338,   +0.00966382, 319, 239
"
7c9a21ae-d2db-11eb-92c6-8c85909d90f2.jpg,Module4_all_06-18-2021," +72.28961257,       +80.34282288,        +1.32850250,          1.00000000,     0.00000000,     0.00000000,     0.00000000,     1.00000000,     0.00000000,     0.00000000,     0.00000000,     1.00000000,  +0.00966338,   +0.00966382, 319, 239
"
7c9c1cd4-d2db-11eb-92c6-8c85909d90f2.jpg,Module4_all_06-18-2021," +90.18294002,      +160.36277823,        +1.30999886,          1.00000000,     0.00000000,     0.00000000,     0.00000000,     1.00000000,     0.00000000,     0.00000000,     0.00000000,     1.00000000,  +0.00966338,   +0.00966382, 319, 239
"
7c9e5242-d2db-11eb-92c6-8c85909d90f2.jpg,Module4_all_06-18-2021,"+108.13491681,       +93.85424948,        +1.30020656,          1.00000000,     0.00000000,     0.00000000,     0.00000000,     1.00000000,     0.00000000,     0.00000000,     0.00000000,     1.00000000,  +0.00966338,   +0.00966382, 319, 239
"
7ca09cb4-d2db-11eb-92c6-8c85909d90f2.jpg,Module4_all_06-18-2021,"+174.25671794,       +83.02520882,        +1.25445123,          1.00000000,     0.00000000,     0.00000000,     0.00000000,     1.00000000,     0.00000000,     0.00000000,     0.00000000,     1.00000000,  +0.00966338,   +0.00966382, 319, 239
"
7ca31f70-d2db-11eb-92c6-8c85909d90f2.jpg,Module4_all_06-18-2021," +71.89350068,      +149.98251388,        +1.32444440,          1.00000000,     0.00000000,     0.00000000,     0.00000000,     1.00000000,     0.00000000,     0.00000000,     0.00000000,     1.00000000,  +0.00966338,   +0.00966382, 319, 239
"
7ca5d5ee-d2db-11eb-92c6-8c85909d90f2.jpg,Module4_all_06-18-2021,"+144.09915219,       +93.68692849,        +1.27464743,          1.00000000,     0.00000000,     0.00000000,     0.00000000,     1.00000000,     0.00000000,     0.00000000,     0.00000000,     1.00000000,  +0.00966338,   +0.00966382, 319, 239
"
7ca8d0b4-d2db-11eb-92c6-8c85909d90f2.jpg,Module4_all_06-18-2021,"+126.44074864,      +139.19838736,        +1.28371817,          1.00000000,     0.00000000,     0.00000000,     0.00000000,     1.00000000,     0.00000000,     0.00000000,     0.00000000,     1.00000000,  +0.00966338,   +0.00966382, 319, 239
"
7cab9be6-d2db-11eb-92c6-8c85909d90f2.jpg,Module4_all_06-18-2021,"+126.11483231,      +160.07458289,        +1.28308655,          1.00000000,     0.00000000,     0.00000000,     0.00000000,     1.00000000,     0.00000000,     0.00000000,     0.00000000,     1.00000000,  +0.00966338,   +0.00966382, 319, 239
"
7cae5138-d2db-11eb-92c6-8c85909d90f2.jpg,Module4_all_06-18-2021,"+120.39243685,      +114.72354251,        +1.28976780,          1.00000000,     0.00000000,     0.00000000,     0.00000000,     1.00000000,     0.00000000,     0.00000000,     0.00000000,     1.00000000,  +0.00966338,   +0.00966382, 319, 239
"
7cb103f6-d2db-11eb-92c6-8c85909d90f2.jpg,Module4_all_06-18-2021," +66.01252724,      +160.45449658,        +1.32859968,          1.00000000,     0.00000000,     0.00000000,     0.00000000,     1.00000000,     0.00000000,     0.00000000,     0.00000000,     1.00000000,  +0.00966338,   +0.00966382, 319, 239
"
7cb3a110-d2db-11eb-92c6-8c85909d90f2.jpg,Module4_all_06-18-2021,"+186.35482031,       +96.93588017,        +1.24653852,          1.00000000,     0.00000000,     0.00000000,     0.00000000,     1.00000000,     0.00000000,     0.00000000,     0.00000000,     1.00000000,  +0.00966338,   +0.00966382, 319, 239
"
7cb62d36-d2db-11eb-92c6-8c85909d90f2.jpg,Module4_all_06-18-2021,"+102.42031374,      +146.32807789,        +1.30095447,          1.00000000,     0.00000000,     0.00000000,     0.00000000,     1.00000000,     0.00000000,     0.00000000,     0.00000000,     1.00000000,  +0.00966338,   +0.00966382, 319, 239
"
7cb8b7b8-d2db-11eb-92c6-8c85909d90f2.jpg,Module4_all_06-18-2021,"+126.40470010,       +97.28991196,        +1.28664111,          1.00000000,     0.00000000,     0.00000000,     0.00000000,     1.00000000,     0.00000000,     0.00000000,     0.00000000,     1.00000000,  +0.00966338,   +0.00966382, 319, 239
"
7cbb4aaa-d2db-11eb-92c6-8c85909d90f2.jpg,Module4_all_06-18-2021,"+126.02844685,       +76.36465322,        +1.28830513,          1.00000000,     0.00000000,     0.00000000,     0.00000000,     1.00000000,     0.00000000,     0.00000000,     0.00000000,     1.00000000,  +0.00966338,   +0.00966382, 319, 239
"
7cbdb10a-d2db-11eb-92c6-8c85909d90f2.jpg,Module4_all_06-18-2021,"+108.27873097,      +128.81026003,        +1.29734029,          1.00000000,     0.00000000,     0.00000000,     0.00000000,     1.00000000,     0.00000000,     0.00000000,     0.00000000,     1.00000000,  +0.00966338,   +0.00966382, 319, 239
"
7cc0269c-d2db-11eb-92c6-8c85909d90f2.jpg,Module4_all_06-18-2021,"+169.16656985,      +142.39029219,        +1.25386299,          1.00000000,     0.00000000,     0.00000000,     0.00000000,     1.00000000,     0.00000000,     0.00000000,     0.00000000,     1.00000000,  +0.00966338,   +0.00966382, 319, 239
"
7cc26736-d2db-11eb-92c6-8c85909d90f2.jpg,Module4_all_06-18-2021," +96.30732001,      +177.77852184,        +1.30417485,          1.00000000,     0.00000000,     0.00000000,     0.00000000,     1.00000000,     0.00000000,     0.00000000,     0.00000000,     1.00000000,  +0.00966338,   +0.00966382, 319, 239
"
