image,id,choices,annotator,annotation_id
/data/upload/7d900cae-d2db-11eb-92c6-8c85909d90f2_ysWLJfj.jpg,103,FooBar,test@gmail.com,1150
/data/upload/7d5b62ec-d2db-11eb-92c6-8c85909d90f2_cecUfzK.jpg,66,Glue,test@gmail.com,1113
/data/upload/7c9e5242-d2db-11eb-92c6-8c85909d90f2_eGXV6JE.jpg,6,NoWires,test@gmail.com,1053
/data/upload/7e91ab26-d2db-11eb-92c6-8c85909d90f2_jHncJlZ.jpg,206,AllWires,test@gmail.com,1253
/data/upload/7e87c390-d2db-11eb-92c6-8c85909d90f2_AuZswuf.jpg,205,FooBar,test@gmail.com,1252
/data/upload/7e73d362-d2db-11eb-92c6-8c85909d90f2_Ch1s1Y3.jpg,204,FooBar,test@gmail.com,1251
/data/upload/7e63d142-d2db-11eb-92c6-8c85909d90f2_Z54JG2V.jpg,203,FooBar,test@gmail.com,1250
/data/upload/7e54e916-d2db-11eb-92c6-8c85909d90f2_Dqe50X1.jpg,202,FooBar,test@gmail.com,1249
/data/upload/7e43a458-d2db-11eb-92c6-8c85909d90f2_bInq5GN.jpg,201,FooBar,test@gmail.com,1248
/data/upload/7e40fc8a-d2db-11eb-92c6-8c85909d90f2_JOrQm26.jpg,200,FooBar,test@gmail.com,1247
/data/upload/7e29c25e-d2db-11eb-92c6-8c85909d90f2_dKlvp3F.jpg,199,FooBar,test@gmail.com,1246
/data/upload/7e027a6e-d2db-11eb-92c6-8c85909d90f2_ffRDQqm.jpg,198,FooBar,test@gmail.com,1245
/data/upload/7e22de76-d2db-11eb-92c6-8c85909d90f2_hNo4J5I.jpg,197,FooBar,test@gmail.com,1244
/data/upload/7e20a98a-d2db-11eb-92c6-8c85909d90f2_yU6zoh7.jpg,196,FooBar,test@gmail.com,1243
/data/upload/7e16c546-d2db-11eb-92c6-8c85909d90f2_heVF5VM.jpg,195,FooBar,test@gmail.com,1242
/data/upload/7e9dedd2-d2db-11eb-92c6-8c85909d90f2_3EYozct.jpg,194,FooBar,test@gmail.com,1241
