,score,predicted,actual,confidence,path
0,False,FooBar,NoWires,1.0,NoWires/7d1e2d78-d2db-11eb-92c6-8c85909d90f2.jpg
1,False,FooBar,NoWires,1.0,NoWires/7d19df98-d2db-11eb-92c6-8c85909d90f2.jpg
2,False,FooBar,NoWires,1.0,NoWires/84b18760-d2db-11eb-92c6-8c85909d90f2.jpg
3,False,FooBar,NoWires,1.0,NoWires/839288fc-d2db-11eb-92c6-8c85909d90f2.jpg
4,False,FooBar,NoWires,1.0,NoWires/841ddc2c-d2db-11eb-92c6-8c85909d90f2.jpg
5,False,FooBar,NoWires,1.0,NoWires/7de189e4-d2db-11eb-92c6-8c85909d90f2.jpg
6,False,FooBar,NoWires,1.0,NoWires/7f7912fe-d2db-11eb-92c6-8c85909d90f2.jpg
7,False,FooBar,NoWires,1.0,NoWires/841bc05e-d2db-11eb-92c6-8c85909d90f2.jpg
8,False,FooBar,NoWires,1.0,NoWires/84b8c75a-d2db-11eb-92c6-8c85909d90f2.jpg
9,False,FooBar,NoWires,1.0,NoWires/82cd19c8-d2db-11eb-92c6-8c85909d90f2.jpg
10,False,FooBar,NoWires,1.0,NoWires/832b02ea-d2db-11eb-92c6-8c85909d90f2.jpg
11,False,FooBar,NoWires,1.0,NoWires/831756fa-d2db-11eb-92c6-8c85909d90f2.jpg
12,False,FooBar,NoWires,1.0,NoWires/851448e6-d2db-11eb-92c6-8c85909d90f2.jpg
13,False,FooBar,NoWires,1.0,NoWires/83ff8a10-d2db-11eb-92c6-8c85909d90f2.jpg
14,False,FooBar,NoWires,1.0,NoWires/803f00d6-d2db-11eb-92c6-8c85909d90f2.jpg
15,False,FooBar,NoWires,1.0,NoWires/840a78a8-d2db-11eb-92c6-8c85909d90f2.jpg
16,False,FooBar,NoWires,1.0,NoWires/83ae9fc4-d2db-11eb-92c6-8c85909d90f2.jpg
17,False,FooBar,NoWires,1.0,NoWires/7d2fe98c-d2db-11eb-92c6-8c85909d90f2.jpg
18,False,FooBar,NoWires,1.0,NoWires/7f83746a-d2db-11eb-92c6-8c85909d90f2.jpg
19,False,FooBar,NoWires,1.0,NoWires/8484aa60-d2db-11eb-92c6-8c85909d90f2.jpg
20,False,FooBar,NoWires,1.0,NoWires/81fdbe26-d2db-11eb-92c6-8c85909d90f2.jpg
21,False,FooBar,NoWires,1.0,NoWires/830896f6-d2db-11eb-92c6-8c85909d90f2.jpg
22,False,FooBar,NoWires,1.0,NoWires/83d54174-d2db-11eb-92c6-8c85909d90f2.jpg
23,False,FooBar,NoWires,1.0,NoWires/7f87ca06-d2db-11eb-92c6-8c85909d90f2.jpg
24,False,FooBar,NoWires,1.0,NoWires/83e1822c-d2db-11eb-92c6-8c85909d90f2.jpg
25,False,FooBar,NoWires,1.0,NoWires/80f84b72-d2db-11eb-92c6-8c85909d90f2.jpg
26,False,FooBar,NoWires,1.0,NoWires/7d021a48-d2db-11eb-92c6-8c85909d90f2.jpg
27,False,FooBar,NoWires,1.0,NoWires/846baed4-d2db-11eb-92c6-8c85909d90f2.jpg
28,False,FooBar,NoWires,1.0,NoWires/7d3cd214-d2db-11eb-92c6-8c85909d90f2.jpg
29,False,FooBar,NoWires,1.0,NoWires/81dd9a42-d2db-11eb-92c6-8c85909d90f2.jpg
30,False,FooBar,NoWires,1.0,NoWires/81c4e420-d2db-11eb-92c6-8c85909d90f2.jpg
31,False,FooBar,NoWires,1.0,NoWires/81f17c2e-d2db-11eb-92c6-8c85909d90f2.jpg
32,False,FooBar,NoWires,1.0,NoWires/8368c936-d2db-11eb-92c6-8c85909d90f2.jpg
33,False,FooBar,NoWires,1.0,NoWires/81898a6a-d2db-11eb-92c6-8c85909d90f2.jpg
34,False,FooBar,NoWires,1.0,NoWires/816d3112-d2db-11eb-92c6-8c85909d90f2.jpg
35,False,FooBar,NoWires,1.0,NoWires/7cfc211a-d2db-11eb-92c6-8c85909d90f2.jpg
36,False,FooBar,NoWires,1.0,NoWires/83d7d7ae-d2db-11eb-92c6-8c85909d90f2.jpg
37,False,FooBar,NoWires,1.0,NoWires/81ae62b8-d2db-11eb-92c6-8c85909d90f2.jpg
38,False,FooBar,NoWires,1.0,NoWires/831ba0fc-d2db-11eb-92c6-8c85909d90f2.jpg
39,False,FooBar,NoWires,1.0,NoWires/7f10be8e-d2db-11eb-92c6-8c85909d90f2.jpg
40,False,FooBar,NoWires,1.0,NoWires/82a85836-d2db-11eb-92c6-8c85909d90f2.jpg
